Deal,Value,Amount
Twitter*,44,$44b
TXU,32,$32b
First Data,29,$29b 
RJR Nabisco,25,$25b
Dell,24,$24b
HJ Heinz,23,$23b
Equity Office Partners,23,$23b
Hospital Corporation of America Healthcare,21,$21b
Hilton Worldwide,20,$20b
Alliance Boots,19,$19b
